subject,supergame,period,action,opponentAction
T1S1S01,11,16,D,D
T1S1S01,11,17,D,D
T1S1S01,11,18,D,D
T1S1S01,11,19,D,D
T1S1S01,11,20,D,D
T1S1S01,11,21,D,D
T1S1S01,11,22,D,D
T1S1S01,11,23,D,D
T1S1S01,11,24,D,D
T1S1S01,11,25,D,D
T1S1S01,11,26,D,D
T1S1S01,11,27,D,D
T1S1S01,11,28,D,D
T1S1S01,11,29,D,D
T1S1S01,11,30,D,D
T1S1S01,11,31,D,D
T1S1S01,11,32,D,D
T1S1S01,11,33,D,D
T1S1S01,11,34,D,D
T1S1S01,11,35,D,D
T1S1S01,11,36,D,D
T1S1S01,11,37,D,D
T1S1S01,11,38,D,D
T1S1S01,11,39,D,D
T1S1S01,11,40,D,D
T1S1S01,11,41,D,D
T1S1S01,11,42,D,D
T1S1S01,11,43,D,D
T1S1S01,11,44,D,D
T1S1S01,11,45,D,D
T1S1S01,11,46,D,D
T1S1S01,11,47,D,D
T1S1S01,11,48,D,D
T1S1S01,11,49,D,D
T1S1S01,11,50,D,D
T1S1S01,11,51,D,D
T1S1S01,11,52,D,D
T1S1S01,11,53,D,D
T1S1S01,11,54,D,D
T1S1S01,11,55,D,D
T1S1S01,11,56,D,D
T1S1S01,11,57,D,D
T1S1S01,11,58,D,D
T1S1S01,11,59,D,D
T1S1S01,11,60,D,D
T1S1S01,11,61,D,D
T1S1S01,11,62,D,D
T1S1S01,11,63,D,D
T1S1S01,11,64,D,D
T1S1S01,11,65,D,D
T1S1S01,11,66,D,D
T1S1S01,11,67,D,D
T1S1S01,11,68,D,D
T1S1S01,11,69,D,D
T1S1S01,11,70,D,D
T1S1S01,11,71,D,D
T1S1S01,11,72,D,D
T1S1S01,11,73,D,D
T1S1S01,11,74,D,D
T1S1S01,11,75,D,D
T1S1S01,11,76,D,D
T1S1S01,11,77,D,D
T1S1S01,11,78,D,D
T1S1S01,11,79,D,D
T1S1S01,11,80,D,D
T1S1S01,11,81,D,D
T1S1S01,11,82,D,D
T1S1S01,11,83,D,D
T1S1S01,11,84,D,D
T1S1S01,11,85,D,D
T1S1S01,11,86,D,D
T1S1S01,11,87,D,D
T1S1S01,11,88,D,D
T1S1S01,11,89,D,D
T1S1S01,11,90,D,D
T1S1S01,11,91,D,D
T1S1S01,11,92,D,D
T1S1S01,11,93,D,D
T1S1S01,11,94,D,D
T1S1S01,11,95,D,D
T1S1S01,11,96,D,D
T1S1S01,11,97,D,D
T1S1S01,11,98,D,D
T1S1S01,11,99,D,D
T1S1S01,12,1,C,C
T1S1S01,12,2,C,C
T1S1S01,12,3,C,C
T1S1S01,12,4,C,C
T1S1S01,12,5,C,C
T1S1S01,12,6,C,C
T1S1S01,12,7,C,C
T1S1S01,12,8,C,C
T1S1S01,12,9,C,C
T1S1S01,12,10,C,D
T1S1S01,12,11,D,D
T1S1S01,12,12,D,D
T1S1S01,12,13,D,D
T1S1S01,12,14,D,D
T1S1S01,12,15,D,D
T1S1S01,12,16,D,D
T1S1S01,12,17,D,D
T1S1S01,12,18,D,D
T1S1S01,12,19,D,D
T1S1S01,12,20,D,D
T1S1S01,12,21,D,D
T1S1S01,12,22,D,D
T1S1S01,12,23,D,D
T1S1S01,12,24,D,D
T1S1S01,12,25,D,D
T1S1S01,12,26,D,D
T1S1S01,13,1,C,C
T1S1S01,13,2,C,C
T1S1S01,13,3,C,C
T1S1S01,13,4,C,C
T1S1S01,13,5,C,C
T1S1S01,13,6,C,C
T1S1S01,13,7,C,C
T1S1S01,13,8,C,C
T1S1S01,13,9,C,C
T1S1S01,13,10,C,C
T1S1S01,13,11,C,C
T1S1S01,13,12,C,C
T1S1S01,13,13,C,C
T1S1S01,13,14,C,C
T1S1S01,13,15,C,C
T1S1S01,14,1,C,C
T1S1S01,14,2,C,C
T1S1S01,14,3,C,C
T1S1S01,14,4,C,C
T1S1S01,14,5,C,C
T1S1S01,14,6,C,C
T1S1S01,14,7,C,C
T1S1S01,15,1,C,C
T1S1S01,15,2,C,C
T1S1S01,15,3,C,C
T1S1S01,15,4,C,C
T1S1S01,15,5,C,C
T1S1S01,15,6,C,C
T1S1S01,15,7,C,C
T1S1S01,15,8,C,C
T1S1S01,15,9,C,C
T1S1S01,15,10,C,C
T1S1S01,15,11,C,C
T1S1S01,15,12,C,C
T1S1S01,15,13,C,C
T1S1S01,15,14,C,C
T1S1S01,15,15,C,C
T1S1S01,15,16,C,C
T1S1S01,15,17,C,C
T1S1S01,15,18,C,C
T1S1S01,15,19,C,C
T1S1S01,15,20,C,C
T1S1S01,15,21,C,C
T1S1S01,15,22,C,C
T1S1S01,15,23,C,C
T1S1S01,15,24,C,C
T1S1S01,15,25,C,C
T1S1S01,15,26,C,C
T1S1S01,15,27,C,C
T1S1S01,15,28,C,C
T1S1S01,15,29,C,C
T1S1S01,15,30,C,C
T1S1S01,15,31,C,C
T1S1S01,16,1,C,C
T1S1S01,16,2,C,C
T1S1S01,16,3,C,C
T1S1S01,16,4,C,D
T1S1S01,16,5,D,D
T1S1S01,16,6,D,D
T1S1S01,16,7,D,D
T1S1S01,16,8,D,D
T1S1S01,16,9,D,D
T1S1S01,16,10,D,D
T1S1S01,16,11,D,D
T1S1S01,16,12,D,D
T1S1S01,16,13,D,D
T1S1S01,17,1,C,C
T1S1S01,17,2,C,C
T1S1S01,17,3,C,C
T1S1S01,18,1,C,C
T1S1S01,18,2,C,C
T1S1S01,18,3,C,C
T1S1S01,18,4,C,C
T1S1S01,18,5,C,C
T1S1S01,18,6,C,C
T1S1S01,18,7,C,C
T1S1S01,18,8,C,C
T1S1S01,18,9,C,C
T1S1S01,18,10,C,C
T1S1S01,18,11,C,C
T1S1S01,18,12,C,C
T1S1S01,18,13,C,C
T1S1S01,18,14,C,C
T1S1S01,18,15,C,C
T1S1S01,18,16,C,C
T1S1S01,18,17,C,C
T1S1S01,18,18,C,C
T1S1S01,18,19,C,C
T1S1S01,18,20,C,C
T1S1S01,18,21,C,C
T1S1S01,18,22,C,C
T1S1S01,18,23,C,C
T1S1S01,18,24,C,C
T1S1S01,18,25,C,C
T1S1S01,19,1,C,C
T1S1S01,19,2,C,C
T1S1S01,19,3,C,C
T1S1S01,19,4,C,C
T1S1S01,19,5,C,C
T1S1S01,19,6,C,C
T1S1S01,19,7,C,C
T1S1S01,19,8,C,C
T1S1S01,19,9,C,C
T1S1S01,19,10,C,C
T1S1S01,19,11,C,C
T1S1S01,19,12,C,C
T1S1S01,19,13,C,C
T1S1S01,19,14,C,C
T1S1S01,19,15,C,C
T1S1S01,19,16,C,C
T1S1S01,19,17,C,C
T1S1S01,19,18,C,C
T1S1S01,20,1,C,C
T1S1S01,20,2,C,C
T1S1S01,21,1,C,C
T1S1S01,21,2,C,C
T1S1S01,21,3,C,C
T1S1S01,21,4,C,C
T1S1S01,21,5,C,C
T1S1S01,21,6,C,C
T1S1S01,21,7,C,C
T1S1S01,21,8,C,C
T1S1S01,21,9,C,C
T1S1S01,21,10,C,C
T1S1S01,21,11,C,C
T1S1S01,21,12,C,C
T1S1S01,21,13,C,C
T1S1S01,22,1,C,C
T1S1S01,22,2,C,C
T1S1S01,22,3,C,C
T1S1S01,22,4,C,C
T1S1S01,22,5,C,C
T1S1S01,22,6,C,C
T1S1S01,22,7,C,C
T1S1S01,22,8,C,C
T1S1S01,22,9,C,C
T1S1S01,22,10,C,C
T1S1S01,22,11,C,C
T1S1S01,22,12,C,C
T1S1S01,22,13,C,C
T1S1S01,22,14,C,C
T1S1S01,22,15,C,C
T1S1S01,23,1,C,C
T1S1S01,23,2,C,C
T1S1S01,23,3,C,C
T1S1S01,23,4,C,C
T1S1S01,23,5,C,C
T1S1S01,23,6,C,C
T1S1S01,23,7,C,C
T1S1S01,23,8,C,C
T1S1S01,23,9,C,C
T1S1S01,23,10,C,C
T1S1S01,23,11,C,C
T1S1S01,23,12,C,C
T1S1S01,23,13,C,C
T1S1S01,23,14,C,C
T1S1S01,23,15,C,C
T1S1S01,23,16,C,C
T1S1S01,23,17,C,C
T1S1S01,23,18,C,C
T1S1S01,23,19,C,C
T1S1S01,23,20,C,C
T1S1S01,23,21,C,C
T1S1S01,23,22,C,C
T1S1S01,23,23,C,C
T1S1S01,23,24,C,C
T1S1S01,23,25,C,C
T1S1S01,23,26,C,C
T1S1S01,23,27,C,C
T1S1S01,23,28,C,C
T1S1S01,23,29,C,C
T1S1S01,23,30,C,C
T1S1S01,23,31,C,C
T1S1S01,23,32,C,C
T1S1S01,23,33,C,C
T1S1S01,23,34,C,C
T1S1S01,23,35,C,C
T1S1S01,23,36,C,C
T1S1S01,23,37,C,C
T1S1S01,23,38,C,C
T1S1S01,23,39,C,C
T1S1S01,23,40,C,C
T1S1S01,23,41,C,C
T1S1S01,24,1,C,C
T1S1S01,24,2,C,C
T1S1S01,24,3,C,C
T1S1S01,24,4,C,C
T1S1S01,24,5,C,C
T1S1S01,24,6,C,C
T1S1S01,24,7,C,C
T1S1S01,24,8,C,C
T1S1S01,24,9,C,C
T1S1S01,24,10,C,C
T1S1S01,24,11,C,C
T1S1S01,24,12,C,C
T1S1S01,25,1,C,C
T1S1S01,25,2,C,C
T1S1S01,25,3,C,C
T1S1S01,25,4,C,C
T1S1S01,25,5,C,C
T1S1S01,25,6,C,C
T1S1S01,25,7,C,C
T1S1S01,25,8,C,C
T1S1S01,25,9,C,C
T1S1S01,25,10,C,C
T1S1S01,25,11,C,C
T1S1S01,25,12,C,C
T1S1S01,25,13,C,C
T1S1S01,26,1,C,C
T1S1S01,26,2,C,C
T1S1S01,26,3,C,C
T1S1S01,27,1,C,C
T1S1S01,28,1,C,C
T1S1S01,28,2,C,C
T1S1S01,28,3,C,C
T1S1S01,28,4,C,D
T1S1S01,28,5,D,D
T1S1S01,28,6,D,D
T1S1S01,28,7,D,D
T1S1S01,28,8,D,D
T1S1S01,28,9,D,D
T1S1S01,29,1,C,C
T1S1S01,29,2,C,C
T1S1S01,29,3,C,C
T1S1S01,29,4,C,C
T1S1S01,29,5,C,C
T1S1S01,29,6,C,C
T1S1S01,29,7,C,C
T1S1S01,29,8,C,C
T1S1S01,29,9,C,C
T1S1S01,29,10,C,C
T1S1S01,29,11,C,C
T1S1S01,29,12,C,C
T1S1S01,29,13,C,C
T1S1S01,29,14,C,C
T1S1S01,29,15,C,C
T1S1S01,29,16,C,C
T1S1S01,29,17,C,C
T1S1S01,29,18,C,C
T1S1S01,29,19,C,C
T1S1S01,29,20,C,C
T1S1S01,29,21,C,C
T1S1S01,29,22,C,C
T1S1S01,29,23,C,C
T1S1S01,29,24,C,C
T1S1S01,29,25,C,C
T1S1S01,29,26,C,C
T1S1S01,29,27,C,C
T1S1S01,29,28,C,C
T1S1S01,29,29,C,C
T1S1S01,29,30,C,C
T1S1S01,29,31,C,C
T1S1S01,29,32,C,C
T1S1S01,29,33,C,C
T1S1S01,29,34,C,C
T1S1S01,29,35,C,C
T1S1S01,29,36,C,C
T1S1S01,29,37,C,C
T1S1S01,29,38,C,C
T1S1S01,29,39,C,C
T1S1S01,29,40,C,C
T1S1S01,29,41,C,C
T1S1S01,29,42,C,C
T1S1S01,29,43,C,C
T1S1S01,29,44,C,C
T1S1S01,29,45,C,C
T1S1S01,29,46,C,C
T1S1S01,29,47,C,C
T1S1S01,29,48,C,C
T1S1S01,29,49,C,C
T1S1S01,29,50,C,C
T1S1S01,29,51,C,C
T1S1S01,29,52,C,C
T1S1S01,29,53,C,C
T1S1S01,29,54,C,C
T1S1S01,29,55,C,C
T1S1S01,29,56,C,C
T1S1S01,29,57,C,C
T1S1S01,29,58,C,C
T1S1S01,29,59,C,C
T1S1S01,29,60,C,C
T1S1S01,29,61,C,C
T1S1S01,29,62,C,C
T1S1S01,29,63,C,C
T1S1S01,29,64,C,C
T1S1S01,29,65,C,C
T1S1S01,29,66,C,C
T1S1S01,29,67,C,C
T1S1S01,29,68,C,C
T1S1S01,29,69,C,C
T1S1S01,30,1,C,C
T1S1S01,30,2,C,C
T1S1S01,30,3,C,C
T1S1S01,30,4,C,C
T1S1S01,30,5,C,C
T1S1S01,30,6,C,C
T1S1S01,30,7,C,C
T1S1S01,30,8,C,C
T1S1S01,30,9,C,C
T1S1S01,30,10,C,C
T1S1S01,30,11,C,C
T1S1S01,30,12,C,C
T1S1S01,30,13,C,C
T1S1S01,30,14,C,C
T1S1S01,30,15,C,C
T1S1S01,30,16,C,C
T1S1S01,30,17,C,C
T1S1S01,30,18,C,C
T1S1S01,30,19,C,C
T1S1S01,30,20,C,C
T1S1S01,30,21,C,C
T1S1S01,30,22,C,C
T1S1S01,30,23,C,C
T1S1S01,30,24,C,C
T1S1S01,30,25,C,C
T1S1S01,30,26,C,C
T1S1S01,30,27,C,C
T1S1S01,30,28,C,C
T1S1S01,30,29,C,C
T1S1S01,30,30,C,C
T1S1S01,30,31,C,C
T1S1S01,30,32,C,C
T1S1S01,30,33,C,C
T1S1S01,30,34,C,C
T1S1S01,30,35,C,C
T1S1S01,30,36,C,C
T1S1S01,30,37,C,C
T1S1S01,30,38,C,C
T1S1S01,30,39,C,C
T1S1S01,30,40,C,C
T1S1S01,30,41,C,C
T1S1S01,30,42,C,C
T1S1S01,30,43,C,C
T1S1S01,30,44,C,C
T1S1S01,30,45,C,C
T1S1S01,31,1,C,C
T1S1S01,31,2,C,C
T1S1S01,31,3,C,C
T1S1S01,31,4,C,C
T1S1S01,31,5,C,C
T1S1S01,31,6,C,C
T1S1S01,31,7,C,C
T1S1S01,31,8,C,C
T1S1S01,31,9,C,C
T1S1S01,31,10,C,C
T1S1S01,32,1,C,C
T1S1S01,32,2,C,C
T1S1S01,32,3,C,C
T1S1S01,32,4,C,C
T1S1S01,32,5,C,C
T1S1S01,32,6,C,C
T1S1S01,32,7,C,C
T1S1S01,32,8,C,C
T1S1S01,32,9,C,C
T1S1S01,32,10,C,C
T1S1S01,32,11,C,C
T1S1S01,32,12,C,C
T1S1S01,32,13,C,C
T1S1S01,32,14,C,C
T1S1S01,32,15,C,C
T1S1S01,32,16,C,C
T1S1S01,32,17,C,C
T1S1S01,32,18,C,C
T1S1S01,32,19,C,C
T1S1S01,33,1,C,C
T1S1S01,33,2,C,C
T1S1S01,33,3,C,C
T1S1S01,33,4,C,C
T1S1S01,33,5,C,C
T1S1S01,34,1,C,C
T1S1S01,34,2,C,C
T1S1S01,34,3,C,C
T1S1S01,34,4,C,C
T1S1S01,34,5,C,C
T1S1S01,34,6,C,C
T1S1S01,34,7,C,C
T1S1S01,34,8,C,C
T1S1S01,34,9,C,C
T1S1S01,34,10,C,C
T1S1S01,34,11,C,C
T1S1S01,34,12,C,C
T1S1S01,34,13,C,C
T1S1S01,34,14,C,C
T1S1S01,34,15,C,C
T1S1S01,34,16,C,C
T1S1S01,34,17,C,C
T1S1S01,35,1,C,C
T1S1S01,35,2,C,C
T1S1S01,35,3,C,C
T1S1S01,35,4,C,D
T1S1S01,35,5,D,D
T1S1S01,35,6,D,D
T1S1S01,35,7,D,D
T1S1S01,35,8,D,D
T1S1S01,35,9,D,D
T1S1S01,35,10,D,D
T1S1S01,35,11,D,D
T1S1S01,35,12,D,D
T1S1S01,35,13,D,D
T1S1S01,36,1,C,C
T1S1S01,36,2,C,C
T1S1S01,36,3,C,C
T1S1S01,36,4,C,C
T1S1S01,36,5,C,C
T1S1S01,36,6,C,C
T1S1S01,36,7,C,C
T1S1S01,36,8,C,C
T1S1S01,36,9,C,C
T1S1S01,36,10,C,C
T1S1S01,36,11,C,C
T1S1S01,36,12,C,C
T1S1S01,36,13,C,C
T1S1S01,36,14,C,C
T1S1S01,36,15,C,C
T1S1S01,36,16,C,C
T1S1S01,36,17,C,C
T1S1S01,36,18,C,C
T1S1S01,36,19,C,C
T1S1S01,36,20,C,C
T1S1S01,36,21,C,C
T1S1S01,36,22,C,C
T1S1S01,36,23,C,C
T1S1S01,36,24,C,C
T1S1S01,36,25,C,C
T1S1S01,36,26,C,C
T1S1S01,36,27,C,C
T1S1S01,36,28,C,C
T1S1S01,36,29,C,C
T1S1S01,36,30,C,C
T1S1S01,36,31,C,C
T1S1S01,36,32,C,C
T1S1S01,36,33,C,C
T1S1S01,36,34,C,C
T1S1S01,36,35,C,C
T1S1S01,36,36,C,C
T1S1S01,36,37,C,C
T1S1S01,37,1,C,C
T1S1S01,37,2,C,C
T1S1S01,37,3,C,C
T1S1S01,37,4,C,C
T1S1S01,38,1,C,C
T1S1S01,38,2,C,C
T1S1S01,38,3,C,C
T1S1S01,38,4,C,C
T1S1S01,38,5,C,C
T1S1S01,38,6,C,C
T1S1S01,38,7,C,C
T1S1S01,38,8,C,C
T1S1S01,38,9,C,C
T1S1S01,38,10,C,C
T1S1S01,38,11,C,C
T1S1S01,38,12,C,C
T1S1S01,38,13,C,C
T1S1S01,38,14,C,C
T1S1S01,38,15,C,C
T1S1S01,38,16,C,C
T1S1S01,38,17,C,C
T1S1S01,38,18,C,C
T1S1S01,39,1,C,C
T1S1S01,39,2,C,C
T1S1S01,39,3,C,C
T1S1S01,40,1,C,C
T1S1S01,40,2,C,C
T1S1S01,40,3,C,C
T1S1S01,40,4,C,C
T1S1S01,40,5,C,C
T1S1S01,40,6,C,C
T1S1S01,40,7,C,C
T1S1S01,40,8,C,C
T1S1S01,40,9,C,C
T1S1S01,40,10,C,C
T1S1S01,40,11,C,C
T1S1S01,40,12,C,C
T1S1S01,40,13,C,C
T1S1S01,40,14,C,C
T1S1S01,40,15,C,C
T1S1S01,40,16,C,C
T1S1S01,40,17,C,C
T1S1S01,40,18,C,C
T1S1S01,40,19,C,C
T1S1S01,40,20,C,C
T1S1S01,40,21,C,C
T1S1S01,40,22,C,C
T1S1S01,40,23,C,C
T1S1S01,40,24,C,C
T1S1S01,41,1,C,C
T1S1S01,41,2,C,C
T1S1S01,41,3,C,C
T1S1S01,41,4,C,C
T1S1S01,41,5,C,C
T1S1S01,41,6,C,C
T1S1S01,41,7,C,C
T1S1S01,41,8,C,C
T1S1S01,41,9,C,C
T1S1S01,41,10,C,C
T1S1S01,41,11,C,C
T1S1S01,41,12,C,C
T1S1S01,41,13,C,C
T1S1S01,41,14,C,C
T1S1S01,42,1,C,C
T1S1S01,42,2,C,C
T1S1S01,42,3,C,C
T1S1S01,42,4,C,C
T1S1S01,42,5,C,C
T1S1S01,43,1,C,D
T1S1S01,43,2,D,D
T1S1S01,43,3,D,D
T1S1S01,43,4,D,D
T1S1S01,43,5,D,D
T1S1S01,43,6,D,D
T1S1S01,43,7,D,D
T1S1S01,43,8,D,D
T1S1S01,43,9,D,D
T1S1S01,43,10,D,D
T1S1S01,44,1,C,C
T1S1S01,44,2,C,C
T1S1S01,44,3,C,C
T1S1S01,44,4,C,C
T1S1S01,44,5,C,C
T1S1S01,44,6,C,C
T1S1S01,44,7,C,C
T1S1S01,44,8,C,D
T1S1S01,44,9,D,C
T1S1S01,44,10,C,C
T1S1S01,44,11,C,C
T1S1S01,44,12,C,C
T1S1S01,44,13,C,C
T1S1S01,44,14,C,C
T1S1S01,44,15,C,C
T1S1S01,44,16,C,C
T1S1S01,44,17,C,D
T1S1S01,44,18,D,C
T1S1S01,44,19,C,C
T1S1S01,44,20,C,C
T1S1S01,44,21,C,C
T1S1S01,44,22,C,C
T1S1S01,44,23,C,C
T1S1S01,44,24,C,C
T1S1S01,44,25,C,C
T1S1S01,44,26,C,D
T1S1S01,44,27,D,C
T1S1S01,44,28,C,C
T1S1S01,44,29,C,C
T1S1S01,44,30,C,C
T1S1S01,44,31,C,C
T1S1S01,44,32,C,C
T1S1S01,44,33,C,C
T1S1S01,44,34,C,C
T1S1S01,44,35,C,D
T1S1S01,44,36,D,C
T1S1S01,44,37,C,C
T1S1S01,44,38,C,C
T1S1S01,44,39,C,C
T1S1S01,44,40,C,C
T1S1S01,44,41,C,C
T1S1S01,44,42,C,C
T1S1S01,44,43,C,C
T1S1S01,44,44,C,D
T1S1S01,44,45,D,C
T1S1S01,44,46,C,C
T1S1S01,44,47,C,C
T1S1S01,44,48,C,C
T1S1S01,44,49,C,C
T1S1S01,44,50,C,C
T1S1S01,44,51,C,C
T1S1S01,44,52,C,C
T1S1S01,44,53,C,D
T1S1S01,44,54,D,C
T1S1S01,44,55,C,C
T1S1S01,44,56,C,C
T1S1S01,44,57,C,C
T1S1S01,45,1,C,D
T1S1S01,45,2,D,D
T1S1S01,45,3,D,D
T1S1S01,45,4,D,D
T1S1S01,45,5,D,D
T1S1S01,45,6,D,D
T1S1S01,45,7,D,D
T1S1S01,45,8,D,D
T1S1S01,45,9,D,D
T1S1S01,46,1,C,C
T1S1S01,46,2,C,C
T1S1S01,46,3,C,C
T1S1S01,46,4,C,D
T1S1S01,46,5,D,D
T1S1S01,46,6,D,D
T1S1S01,46,7,D,D
T1S1S01,46,8,D,D
